Datum,Bestätigte Fälle,Todesfälle,Geheilte,Aktuelle Erkrankungen
1/22/20,555,17.0,28,510.0
1/23/20,654,18.0,30,606.0
1/24/20,941,26.0,36,879.0
1/25/20,1434,42.0,39,1353.0
1/26/20,2118,56.0,52,2010.0
1/27/20,2927,82.0,61,2784.0
1/28/20,5578,131.0,107,5340.0
1/29/20,6166,133.0,126,5907.0
1/30/20,8234,171.0,143,7920.0
1/31/20,9927,213.0,222,9492.0
2/1/20,12038,259.0,284,11495.0
2/10/20,42762,1013.0,3946,37803.0
2/11/20,44802,1113.0,4683,39006.0
2/12/20,45221,1118.0,5150,38953.0
2/13/20,60368,1371.0,6295,52702.0
2/14/20,66885,1523.0,8058,57304.0
2/15/20,69030,1666.0,9395,57969.0
2/16/20,71224,1770.0,10865,58589.0
2/17/20,73258,1868.0,12583,58807.0
2/18/20,75136,2007.0,14352,58777.0
2/19/20,75639,2122.0,16121,57396.0
2/2/20,16787,362.0,472,15953.0
2/20/20,76197,2247.0,18177,55773.0
2/21/20,76819,2251.0,18890,55678.0
2/22/20,78572,2458.0,22886,53228.0
2/23/20,78958,2469.0,23394,53095.0
2/24/20,79561,2629.0,25227,51705.0
2/25/20,80406,2708.0,27905,49793.0
2/26/20,81388,2770.0,30384,48234.0
2/27/20,82746,2814.0,33277,46655.0
2/28/20,84112,2872.0,36711,44529.0
2/29/20,86011,2941.0,39782,43288.0
2/3/20,19881,426.0,623,18832.0
2/4/20,23892,492.0,852,22548.0
2/5/20,27635,564.0,1124,25947.0
2/6/20,30794,634.0,1487,28673.0
2/7/20,34391,719.0,2011,31661.0
2/8/20,37120,806.0,2616,33698.0
2/9/20,40150,906.0,3244,36000.0
3/1/20,88369,2996.0,42716,42657.0
3/10/20,118620,4262.0,64404,49954.0
3/11/20,125875,4615.0,67003,54257.0
3/12/20,128352,4720.0,68324,55308.0
3/13/20,145205,5404.0,70251,69550.0
3/14/20,156101,5819.0,72624,77658.0
3/15/20,167454,6440.0,76034,84980.0
3/16/20,181574,7126.0,78088,96360.0
3/17/20,197102,7905.0,80840,108357.0
3/18/20,214821,8733.0,83312,122776.0
3/19/20,242570,9867.0,84975,147728.0
3/2/20,90306,3085.0,45602,41619.0
3/20/20,272208,11299.0,87420,173489.0
3/21/20,304507,12973.0,91692,199842.0
3/22/20,336953,14651.0,97899,224403.0
3/23/20,378235,16505.0,98351,263379.0
3/24/20,418045,18625.0,108000,291420.0
3/25/20,467653,21181.0,113787,332685.0
3/26/20,529591,23970.0,122150,383471.0
3/27/20,593291,27198.0,130915,435178.0
3/28/20,660706,30652.0,139415,490639.0
3/29/20,720140,33925.0,149082,537133.0
3/3/20,92840,3160.0,48228,41452.0
3/30/20,782395,37582.0,164566,580247.0
3/31/20,857487,42107.0,178034,637346.0
3/4/20,95120,3254.0,51170,40696.0
3/5/20,97886,3348.0,53796,40742.0
3/6/20,101801,3460.0,55865,42476.0
3/7/20,105847,3558.0,58358,43931.0
3/8/20,109821,3802.0,60694,45325.0
3/9/20,113590,3988.0,62494,47108.0
4/1/20,932605,46809.0,193177,692619.0
4/2/20,1013320,52983.0,210263,750074.0
4/3/20,1095917,58787.0,225796,811334.0
4/4/20,1197405,64606.0,246152,886647.0
4/5/20,1272115,69374.0,260012,942729.0
4/6/20,1345101,74565.0,276515,994021.0
4/7/20,1426096,,276515,
